title,media_type,collection,wikipedia_link
Doraemon,TV Series,,https://en.wikipedia.org/wiki/Doraemon_(2005_TV_series)
Sailor Moon,TV Series,,https://en.wikipedia.org/wiki/Sailor_Moon_(TV_series)
Dexter's Laboratory,TV Series,,https://en.wikipedia.org/wiki/Dexter%27s_Laboratory
The Powerpuff Girls,TV Series,,https://en.wikipedia.org/wiki/The_Powerpuff_Girls
Samurai Jack,TV Series,,https://en.wikipedia.org/wiki/Samurai_Jack
The Smurfs,TV Series,,https://en.wikipedia.org/wiki/The_Smurfs_(1981_TV_series)
Felix the Cat,TV Series,,https://en.wikipedia.org/wiki/Felix_the_Cat_(TV_series)
The Pink Panther Show,TV Series,,https://en.wikipedia.org/wiki/The_Pink_Panther_Show
Popeye the Sailor,TV Series,,https://en.wikipedia.org/wiki/Popeye_the_Sailor_(TV_series)
The Flintstones,TV Series,Hanna-Barbera,https://en.wikipedia.org/wiki/The_Flintstones
The Muppet Show,TV Series,Jim Henson,https://en.wikipedia.org/wiki/The_Muppet_Show
Thomas & Friends,TV Series,,https://en.wikipedia.org/wiki/Thomas_%26_Friends
Postman Pat,TV Series,,https://en.wikipedia.org/wiki/Postman_Pat
LazyTown,TV Series,,https://en.wikipedia.org/wiki/LazyTown
Mickey Mouse,TV Series,Disney,https://en.wikipedia.org/wiki/Mickey_Mouse_(TV_series)
The Wonderful World of Mickey Mouse,TV Series,Disney,https://en.wikipedia.org/wiki/The_Wonderful_World_of_Mickey_Mouse
Bernard's Watch,TV Series,,https://en.wikipedia.org/wiki/Bernard%27s_Watch
Trapped!,TV Series,,https://en.wikipedia.org/wiki/Trapped!_(TV_series)
Mr. Men,TV Series,Roger Hargreaves,https://en.wikipedia.org/wiki/Mr._Men#Original_TV_series_(1974%E2%80%931978)
Little Miss,TV Series,Roger Hargreaves,https://en.wikipedia.org/wiki/Mr._Men#Little_Miss_TV_series_(1983)
Mr. Men and Little Miss,TV Series,Roger Hargreaves,https://en.wikipedia.org/wiki/Mr._Men_and_Little_Miss
